"지역별(1)",지역별(2),지역별(3),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"지역별(1)",지역별(2),지역별(3),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"지역별(1)",지역별(2),지역별(3),소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로,소계,소계,자전거 전용도로,자전거 전용도로,자전거보행자 겸용도로,자전거보행자 겸용도로,자전거 전용차로,자전거 전용차로,자전거우선도로,자전거우선도로
"지역별(1)",지역별(2),지역별(3),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km),노선수 (개),길이 (km)
"합계",도로변,강북구,4,7.0,1,0.1,1,2.7,2,4.2,-,-,3,7.0,-,-,1,2.7,2,4.3,-,-,3,7.0,-,-,1,2.7,2,4.3,-,-,8,8.7,-,-,3,3.2,5,5.5,-,-,8,8.7,0,0.0,3,3.2,5,5.5,0,0.0
"합계",도로변,도봉구,4,12.2,1,0.7,3,11.5,-,-,-,-,4,12.3,1,0.7,3,11.6,-,-,-,-,4,12.3,1,0.7,3,11.6,-,-,-,-,8,12.9,2,1.4,6,11.5,-,-,-,-,8,12.9,2,1.4,6,11.5,0,0.0,0,0.0
"합계",도로변,노원구,25,28.3,1,0.9,17,20.0,7,7.4,-,-,25,28.3,1,0.9,17,19.9,7,7.5,-,-,25,28.3,1,0.9,17,19.9,7,7.5,-,-,40,42.9,2,1.6,27,28.3,11,13.0,-,-,44,43.7,6,2.6,27,27.9,11,13.2,0,0.0
"합계",도로변,은평구,17,26.7,-,-,16,24.4,1,2.3,-,-,17,26.9,-,-,16,24.6,1,2.3,-,-,18,26.9,-,-,17,24.6,1,2.3,-,-,30,39.8,-,-,28,37.2,2,2.6,-,-,31,44.0,0,0.0,29,39.4,2,4.6,0,0.0
"합계",도로변,서대문구,25,18.3,1,0.4,5,4.9,2,1.9,17,11.1,28,19.4,1,0.4,8,5.9,2,1.9,17,11.2,27,19.4,1,0.4,7,5.9,2,1.9,17,11.2,47,31.1,-,-,17,7.6,4,1.8,26,21.7,47,31.2,0,0.0,17,7.7,4,1.8,26,21.7
"합계",도로변,마포구,32,31.9,4,2.7,4,5.4,7,4.8,17,19.0,33,33.4,5,4.2,4,5.4,7,4.8,17,19.0,33,34.6,5,4.2,4,5.4,7,5.2,17,19.8,57,65.7,7,6.0,7,10.1,13,10.0,30,39.6,65,69.4,7,6.2,14,14.2,14,9.4,30,39.6
"합계",도로변,양천구,31,38.2,11,15.6,18,17.5,-,-,2,5.1,28,40.0,13,20.2,13,14.7,-,-,2,5.1,28,41.0,13,20.2,13,15.7,-,-,2,5.1,59,55.5,25,22.1,30,23.3,-,-,4,10.2,62,55.6,27,21.9,31,23.4,0,0.0,4,10.4
"합계",도로변,강서구,32,25.6,6,5.0,20,17.2,6,3.4,-,-,34,27.9,9,5.4,25,22.5,-,-,-,-,43,41.7,19,17.7,24,24.0,-,-,-,-,80,76.4,36,31.9,44,44.5,-,-,-,-,79,68.3,36,32.2,43,36.1,0,0.0,0,0.0
"합계",도로변,구로구,15,10.8,3,1.4,9,8.0,1,0.4,2,1.0,15,10.9,2,1.0,9,8.1,2,0.8,2,1.0,14,10.5,2,1.0,9,8.1,1,0.4,2,1.0,38,26.5,4,1.8,32,23.8,-,-,2,1.0,39,26.6,4,1.8,33,23.9,0,0.0,2,1.0
"합계",도로변,금천구,7,8.1,2,3.8,5,4.3,-,-,-,-,7,8.2,2,3.8,5,4.4,-,-,-,-,7,8.2,2,3.8,5,4.4,-,-,-,-,19,8.9,4,2.9,15,6.0,-,-,-,-,20,9.2,5,3.2,15,6.0,0,0.0,0,0.0
